,beta,pop_infected,mismatch
0,0.007515374252861291,1371.0,2.5167031945600913
1,0.007515195017854667,1371.0,2.5167031945600913
2,0.007515195017854667,1371.0,2.5167031945600913
3,0.007515195017854667,1371.0,2.5167031945600913
4,0.007515195017854667,1371.0,2.5167031945600913
5,0.007515195017854667,1371.0,2.5167031945600913
6,0.007515195017854667,1371.0,2.5167031945600913
7,0.007515195017854667,1371.0,2.5167031945600913
8,0.007515195017854667,1371.0,2.5167031945600913
9,0.007515195017854667,1371.0,2.5167031945600913
10,0.007515195017854667,1371.0,2.5167031945600913
11,0.007515195017854667,1371.0,2.5167031945600913
12,0.007515195017854667,1371.0,2.5167031945600913
13,0.007515195017854667,1371.0,2.5167031945600913
14,0.007515195017854667,1371.0,2.5167031945600913
15,0.007515195017854667,1371.0,2.5167031945600913
16,0.007515195017854667,1371.0,2.5167031945600913
17,0.007515195017854667,1371.0,2.5167031945600913
18,0.007515195017854667,1371.0,2.5167031945600913
19,0.007515195017854667,1371.0,2.5167031945600913
20,0.007515195017854667,1371.0,2.5167031945600913
21,0.007515195017854667,1371.0,2.5167031945600913
22,0.007515195017854667,1371.0,2.5167031945600913
23,0.007515195017854667,1371.0,2.5167031945600913
24,0.007515195017854667,1371.0,2.5167031945600913
25,0.007515195017854667,1371.0,2.5167031945600913
26,0.007515195017854667,1371.0,2.5167031945600913
27,0.007515195017854667,1371.0,2.5167031945600913
28,0.007515195017854667,1371.0,2.5167031945600913
29,0.007515195017854667,1371.0,2.5167031945600913
30,0.007515195017854667,1371.0,2.5167031945600913
31,0.007515195017854667,1371.0,2.5167031945600913
32,0.007515195017854667,1371.0,2.5167031945600913
33,0.007515195017854667,1371.0,2.5167031945600913
34,0.007515195017854667,1371.0,2.5167031945600913
35,0.007515195017854667,1371.0,2.5167031945600913
36,0.007515195017854667,1371.0,2.5167031945600913
37,0.007515195017854667,1371.0,2.5167031945600913
38,0.007515195017854667,1371.0,2.5167031945600913
39,0.007515195017854667,1371.0,2.5167031945600913
40,0.007515195017854667,1371.0,2.5167031945600913
41,0.007515195017854667,1371.0,2.5167031945600913
42,0.007515195017854667,1371.0,2.5167031945600913
43,0.007515195017854667,1371.0,2.5167031945600913
44,0.007515195017854667,1371.0,2.5167031945600913
